,sourceimagefileid,fovimagedate,fovid,instrument,localfilepath,wellname,barcode,cellline,workflow,imaging_mode,gene,latest_segmentation_filename,latest_segmentation_readpath,latest_segmentation_metadata
27902,63317b15ad5647e286cd6f324af8453a,19:08.0,171067,ZSD-1,/allen/programs/allencell/data/proj0/53a/f84/24a/6f3/6cd/e28/647/ad5/b15/317/63/3500004598_100X_ZSD1_20210624-alignV2-Scene-088-P50-F04.ome.tiff,F4,3500004598,AICS-93,['Pipeline 4.8'],Mode A,TERF2,,,
27909,7ae9404ef80b46ae9c6c01469b6f821e,50:27.0,171074,ZSD-1,/allen/programs/allencell/data/proj0/21e/6f8/69b/014/c6c/ae9/b46/f80/04e/e94/7a/3500004598_100X_ZSD1_20210624-alignV2-Scene-119-P100-F05.ome.tiff,F5,3500004598,AICS-93,['Pipeline 4.8'],Mode A,TERF2,,,
27921,dabe9326828d47cbbd371607017e5b55,54:47.0,171087,ZSD-1,/allen/programs/allencell/data/proj0/b55/7e5/701/160/d37/cbb/d47/828/326/be9/da/3500004636_100X_20210727_PM-alignV2-Scene-109-P109-F10.ome.tiff,F10,3500004636,AICS-93,['Pipeline 4.8'],Mode A,TERF2,,,
27922,71bbfea4b4f64e89afb34d70e64499a2,14:59.0,171088,ZSD-1,/allen/programs/allencell/data/proj0/9a2/449/0e6/4d7/fb3/89a/64e/b4f/ea4/bbf/71/3500004636_100X_20210727_PM-alignV2-Scene-070-P70-F09.ome.tiff,F9,3500004636,AICS-93,['Pipeline 4.8'],Mode A,TERF2,,,
27923,fabc54850bec48fc92fac4397b072c44,30:10.0,171089,ZSD-1,/allen/programs/allencell/data/proj0/c44/072/97b/c43/2fa/fc9/c48/0be/485/bc5/fa/3500004636_100X_20210727_PM-alignV2-Scene-026-P26-F08.ome.tiff,F8,3500004636,AICS-93,['Pipeline 4.8'],Mode A,TERF2,,,
27925,5553d516581e49e38a340804078a835d,20:05.0,171091,ZSD-1,/allen/programs/allencell/data/proj0/35d/8a8/407/080/a34/e38/e49/581/516/53d/55/3500004636_100X_20210727_PM-alignV2-Scene-075-P75-F09.ome.tiff,F9,3500004636,AICS-93,['Pipeline 4.8'],Mode A,TERF2,,,
27935,44f8f3216852463683e6fb8d73313578,19:24.0,171101,ZSD-1,/allen/programs/allencell/data/proj0/578/313/d73/fb8/3e6/368/246/685/321/f8f/44/3500004636_100X_20210727_AM-alignV2-Scene-67-P67-F07.ome.tiff,F7,3500004636,AICS-93,['Pipeline 4.8'],Mode A,TERF2,,,
27942,a00cd7f9409d4f2abb385265a7173b5d,29:06.0,171108,ZSD-1,/allen/programs/allencell/data/proj0/b5d/173/5a7/526/b38/2ab/d4f/409/7f9/0cd/a0/3500004636_100X_20210727_PM-alignV2-Scene-025-P25-F08.ome.tiff,F8,3500004636,AICS-93,['Pipeline 4.8'],Mode A,TERF2,,,
27949,9f1041909d064887bfda2f417e4c9278,17:03.0,171120,ZSD-1,/allen/programs/allencell/data/proj0/278/4c9/17e/2f4/fda/87b/648/9d0/190/104/9f/3500004636_100X_20210727_PM-alignV2-Scene-072-P72-F09.ome.tiff,F9,3500004636,AICS-93,['Pipeline 4.8'],Mode A,TERF2,,,
27950,5f5ba25bb970455da6da3de4f3b17fd2,41:43.0,171123,ZSD-1,/allen/programs/allencell/data/proj0/fd2/b17/4f3/3de/6da/5da/045/b97/25b/5ba/5f/3500004636_100X_20210727_AM-alignV2-Scene-30-P30-F06.ome.tiff,F6,3500004636,AICS-93,['Pipeline 4.8'],Mode A,TERF2,,,
27953,3ff1f3e7c24e4d07bceb792b97574252,36:39.0,171127,ZSD-1,/allen/programs/allencell/data/proj0/252/574/b97/792/ceb/07b/e4d/c24/3e7/f1f/3f/3500004636_100X_20210727_AM-alignV2-Scene-25-P25-F06.ome.tiff,F6,3500004636,AICS-93,['Pipeline 4.8'],Mode A,TERF2,,,
27957,e2a29225e57547daba72b98123b40f03,39:43.0,171131,ZSD-1,/allen/programs/allencell/data/proj0/f03/b40/123/b98/a72/dab/547/e57/225/a29/e2/3500004636_100X_20210727_AM-alignV2-Scene-28-P28-F06.ome.tiff,F6,3500004636,AICS-93,['Pipeline 4.8'],Mode A,TERF2,,,
27966,f34149e0c297448393a999a751112e8d,55:48.0,171140,ZSD-1,/allen/programs/allencell/data/proj0/e8d/112/751/99a/3a9/839/744/c29/9e0/414/f3/3500004636_100X_20210727_PM-alignV2-Scene-110-P110-F10.ome.tiff,F10,3500004636,AICS-93,['Pipeline 4.8'],Mode A,TERF2,,,
